Job Title,Company,Description,Minimum Qualification,Skills Required,Skillmentequired,Location,Work Type,Years of Experience,Category,Department,DeptNorm,Url,Source
Head of Quality Control at Expert Edge Consultant Limited,Expert Edge Consultant Limited,"Key Responsibilities
Quality Leadership
Lead and coordinate the overall Quality Control organization within the factory.
Provide leadership and direction to a team of 40–45 QC inspectors and supervisors.
Strengthen the existing QC management and supervisory structure.
Ensure consistent implementation of inspection standards across all production areas.
Quality Systems & Process Development
Develop and implement structured quality control procedures and systems.
Improve and formalize existing inspection standards and documentation.
Introduce scalable quality systems suitable for large-scale manufacturing environments.
Establish clear processes for quality recording, traceability, and documentation.
Quality Data, Reporting & Administration
Develop systems for recording, monitoring, and reporting quality data.
Improve existing reporting processes and introduce structured digital quality tracking systems.
Establish and monitor quality KPIs and performance metrics.
Provide regular quality performance reports to factory leadership.
Product & Process Quality Oversight
Oversee quality standards across all production stages including:
Raw material inspection
Incoming component inspection
In-process production checks
Final product inspection
Packaging and dispatch standards
The factory produces multiple product types using a wide range of materials, requiring strong oversight across varied manufacturing processes.
Continuous Improvement
Lead root cause analysis investigations for quality issues and defects.
Implement Corrective and Preventive Action (CAPA) systems.
Support production teams in improving process consistency and product quality.
Identify opportunities to reduce defects, waste, and rework.
Training & Workforce Development
Support the development of the internally trained QC workforce.
Introduce structured training programs and quality awareness initiatives.
Ensure inspectors and supervisors clearly understand inspection standards and acceptance criteria.
Strengthen QC supervisory capability across the team.
Cross-Department Collaboration
Work closely with:
Production teams
Engineering and technical departments
Procurement and materials management
Product development teams
Senior factory leadership
Ensure quality considerations are integrated across all manufacturing activities.
Candidate Profile
Academic Qualifications
Bachelor’s Degree (Mandatory) in any of the following fields:
Mechanical Engineering
Industrial & Production Engineering
Manufacturing Engineering
Materials Engineering / Materials Science
Industrial Chemistry
Chemical Engineering
Quality Assurance / Quality Management
Mechatronics Engineering
A Master’s Degree (MBA, Engineering Management, or Quality Management) will be an added advantage.",Academic Qualifications,,,,Unclear,,,Business,Business,https://www.myjobmag.co.ke/job/head-of-quality-control-expert-edge-consultant-limited,MyJobMag
HR Manager for Manufacturing Client at Walk In Solutions,Walk In Solutions,"The HR Manager will lead the Human Resources function and report directly to the Director. This role is part of the Management Committee and will be responsible for both strategic and operational HR, with a strong focus on business partnering and data-driven decision-making.
Key Responsibilities:
Leadership & HR Operations
Lead the HR function for a workforce of 500+ employees across Sales, Manufacturing, Logistics, Finance, IT, and support functions, managing a team of 5
Define, implement, and continuously improve HR policies, processes, and systems
Ensure seamless HR operations across multiple locations (Mombasa plant and Nairobi HQ)
Act as a strategic HR partner to leadership, contributing to key business and management discussions
HR Analytics & Business Partnering
Analyze HR and business KPIs such as productivity, manpower cost, attrition, absenteeism, overtime, hiring funnel, and training ROI
Develop HR dashboards and provide insights on organizational structure, workforce planning, and performance
Support strategic decisions (capacity expansion, restructuring, incentives, new product lines) using workforce analytics
Talent Management & Development
Own end-to-end talent management: workforce planning, hiring, employer branding, onboarding
Drive performance management cycles, goal setting, and feedback culture
Design and implement L&D and leadership development programs for both white- and blue-collar workforce
Build succession plans and internal talent pipelines
Compensation, Compliance & Employee Relations
Oversee compensation & benefits, grading structures, and HR budgets
Manage annual salary and bonus review cycles
Ensure compliance with Kenyan labor laws and statutory requirements
Lead employee relations, grievance handling, and disciplinary processes
Drive employee engagement, culture, internal communication, and change management initiatives
Key Requirements:
7–10 years of total HR experience, with at least 3–5 years in the manufacturing sector
Strong expertise in Performance Management Systems (PMS), Talent Management, and HR Analytics
Exposure to both manufacturing and corporate/shared services environments is preferred
Proven ability in HR business partnering with a strong understanding of business and financial metrics (P&L exposure mandatory)
Ability to translate data into actionable insights for business growth",,,,Ensure seamless HR operations across multiple locations (Mombasa plant and Nairobi HQ),Unclear,"7–10 years of total HR experience, with at least 3–5 years in the manufacturing sector","The HR Manager will lead the Human Resources function and report directly to the Director. This role is part of the Management Committee and will be responsible for both strategic and operational HR, with a strong focus on business partnering and data-driven decision-making.",Human Resources,Human Resources,https://www.myjobmag.co.ke/job/hr-manager-for-manufacturing-client-walk-in-solutions,MyJobMag
"Regional Monitoring, Evaluation and Learning Coordinator at International Union for Conservation of Nature (IUCN)",International Union for Conservation of Nature (IUCN),"MAJOR RESPONSIBILITIES:
As the regional lead for planning, monitoring and evaluation work, this position has overall responsibility for MEL function in the region and the quality of MEL outputs in the regional portfolio. He/she will participate in the region’s management team to contribute to steering the performance and assurance of the programme and portfolio of projects implemented in the region and ensuring quality in the design and development of the portfolio.
He/she will also lead the regional implementation of institutional MEL policies, practices and systems in the region. As a focal point for the PPME function, this position is expected to liaise with the global PPME Unit (and regional leads in portfolio/programme management, HR, Finance, Legal, and IT) to collaboratively build the Secretariat’s MEL capabilities in the region with regards to relevant policies, processes, practices and systems.
This position provides subject matter expertise in MEL to support programme and projects implemented in the region from design to closure. She/he will provide functional line management to MEL officers, contribute to the recruitment, onboarding and training of MEL officers, and will manage project evaluations.
This position will report to and work closely with the Regional Director and will support the development and implementation of the regional portfolio of projects.
SPECIFIC DUTIES;
Regional portfolio performance management;
Lead, coordinate and assure the performance management functions in the region, specifically:
Planning, monitoring and reporting;
Coordinate regional input from project and programme managers to institutional Annual Cycle of planning, monitoring and reporting (for both unrestricted and restricted funding).
Develop and implement regional performance measurement framework, aligned to Secretariat performance framework.
Contribute to the development and implementation of regional performance criteria to steer a strategic and effective portfolio (pipeline management).
Track, monitor and evaluate regional project portfolio implementation in the IUCN Programme and Project Portal and through any tools used in the region (e.g. Smartsheet).
Evaluation and learning;
Develop and ensure adequacy of regional evaluation framework in consultation with the Regional Programme Coordinator (or equivalent) and maintain the register of evaluations.
Support project and programme evaluations, including advise on evaluation ToRs and evaluation management, ensure projects comply with the IUCN Monitoring and Evaluation Policy requirements for evaluation.
Facilitate learning across the portfolio by applying international best practices to enable adaptive management and organisational learning and participating in regional and global exchanges.
Support resource mobilization efforts for MEL in the region, through the provision of subject-matter expertise on MEL requirements, and by ensuring projects are designed with performance frameworks, meet ESMS standards, and budget appropriately for MEL staff time and activities (implementation of the project costing framework.
Institutional performance management standards applied in the region;
In collaboration with the IPME Unit at Headquarters, implement Secretariat MEL policies, practices and systems in the region, specifically:
Institutional annual cycle (planning, monitoring and reporting)
Project Guidelines and Standards (PGS), including Project Appraisal and Approval System (PAAS)
Programme and Project Portal (project data forms and project workflows that control project status)
Enterprise Risks Management Policy and internal control framework
Evaluation Policy
Environmental and Social Management System (ESMS): oversee ESMS quality assurance, supported by the ESMS Coordinator at HQ.
Guide regional implementation of policies and standards for MEL, ensuring policy understanding of managers and providing a control and quality assurance role.
Provide subject matter expertise and serve as the focal point in the region for the function, by briefing, training, and coaching project managers and project MEL officers to effectively implement the policies and practices.
Provide project assurance through;
Manage evaluations for projects including facilitating appropriate feedback on draft reports, compliance with the IUCN Evaluation Policy, and facilitating the preparation of management responses.
Lead and participate in project supervision missions.
Advocate for and facilitate the proactive use of MEL information in decision-making and adaptive management across the portfolio.
Share lessons, provide advice, raise issues, and identify current or emerging risks to the implementation of the policies and controls – with both PPME Unit and the Regional Director.
Supervise and build capacity for project MEL;
To enhance project management for results delivery, supervise project MEL officers and support project managers with MEL and risk management:
Coordinate, advise and ensure consistent application of institutional project management standards.
Contribute to the recruitment, hiring and onboarding of new project MEL officers.
Provide direct reporting line management to project MEL officers. Provide functional line management to regional project managers for project MEL.
Brief, train and coach project staff on MEL. Occasionally lead MEL work for projects (max 25% of the role, with a view to decrease this).
IUCN standards and expectations for MEL within projects include;
Development of the MEL components of the project proposal aligned to IUCN Programme and indicators (theory of change, results framework, e.g. logframe, and budget for MEL activities and staff time).
Development and timely implementation of the project MEL plan.
Reporting to donors against project results framework and indicators.
Institutional reporting against IUCN indicators.
Facilitating adaptive management and learning throughout the project.
Finalizing and closing projects according to IUCN requirements.
Plan for required independent project evaluations, including contributing to ToR development and evaluation management when required.
Perform other duties as may be assigned from time to time.
REQUIREMENTS
Master’s degree or higher in environmental studies, biodiversity conservation, natural resource management, planning, management or social sciences, economics, public policy or management engineering, or a related subject matter, business administration, etc.
At least 8 years of experience in programme and project performance management, with specific experience required in MEL of at least 5 years.
Proven experience with the implementation of institutional performance and assurance approaches and systems.
Knowledge of the application of environmental and social safeguards, working experience in this area a plus.
Demonstrated experience in results measurement methods and management in conservation, development or other relevant sectors.
Demonstrated experience designing, implementing and managing complex, multi-country, multi-partner and multi-sectors projects in conservation, development or other relevant sectors in the region.
Experience with leading bilateral and multilateral donor funded projects is an asset.
Excellent organization and communication skills with a proven ability to engage across levels of an organization and across geographies.
Experience with change management and the people skills to build a culture of accountability and learning.
Excellent group facilitation skills and experience with application of monitoring and evaluation methodologies
Ability to deliver analytical reports to facilitate management decision-making.",,Excellent organization and communication skills with a proven ability to engage across levels of an organization and across geographies.,Excellent organization and communication skills with a proven ability to engage across levels of an organization and across geographies.,,Unclear,"At least 8 years of experience in programme and project performance management, with specific experience required in MEL of at least 5 years.","As the regional lead for planning, monitoring and evaluation work, this position has overall responsibility for MEL function in the region and the quality of MEL outputs in the regional portfolio. He/she will participate in the region’s management team to contribute to steering the performance and assurance of the programme and portfolio of projects implemented in the region and ensuring quality in the design and development of the portfolio.",Renewable Energy & Environment,Renewable Energy & Environment,https://www.myjobmag.co.ke/job/regional-monitoring-evaluation-and-learning-coordinator-international-union-for-conservation-of-nature,MyJobMag
Branch Supervisors at Java House,Java House,"Duties and Responsibilities:
Ensure that all restaurant policies and procedures, standards specifications and guidelines are followed and completed on a timely basis.
Ensure compliance with health and safety, food preparation and serving, repair and maintenance.
Ensure company objectives in sales, service quality, appearance of facility and hygiene through training of employees and creating a positive, productive working environment through organizing and supervising regular Branch deep cleaning.
Adhere to cash handling and reconciliation procedures in accordance with restaurant policies and procedures.
Prevent, handle and resolve complaints regarding food quality and service.
Sample food and drink items by testing to ensure palatability and flavor conformity through regular store audits.
Prevent and resolve personnel problems
Minimise guest complaints by ensuring all guests are served. This will be done by ensuring 95% of their time is spent on floor coverage.
Ensuring that the set SOPs of cash handling are adhered to
Taking correct take away orders and ensuring they are correctly dispensed
Ensuring prompt billing is done and correct change is given
Ensuring delivery orders are prepared and picked on time
Suggestive selling products and introduction of new ones to guests
Maintaining high hygiene standards at the cashier station
Ensure cutlery is wiped, polished and well displayed at the respective stations
Oversea the dining area, supervises food and beverage service staff in accordance with operating policies that he or she may help establish.
Seeks, listens and responds to Guest feedback.
Job specifications:
Qualifications
Ability to communicate clearly in English.
Ability to review  P&L
Able to handle money and operate a point-of-sale system
Must be prepared to work under pressure.
Must have the ability to co-ordinate skills; demonstrate good core ethics and values.
Must be result oriented, self-driven, articulate and pro-active.
Must have the ability to make quick and sound decisions.
go to method of application »",Qualifications,Must have the ability to co-ordinate skills; demonstrate good core ethics and values.,Must have the ability to co-ordinate skills; demonstrate good core ethics and values.,,Unclear,,,Information Technology,Information Technology,https://www.myjobmag.co.ke/jobs/branch-supervisors-at-java-house,MyJobMag
Credit Administrator at SunCulture Kenya Ltd,SunCulture Kenya Ltd,"About the role:
The Credit Administrator will be responsible for managing the credit assessment and approval process, ensuring compliance with company policies and regulatory requirements. The ideal candidate will possess strong analytical skills, attention to detail, and the ability to communicate effectively with internal teams and external stakeholders.
Key Responsibilities:
Conduct thorough credit assessments of new and existing customers, including analysis of financial statements, credit reports, and other relevant information.
Evaluate creditworthiness and establish appropriate credit limits and terms for customers.
Monitor and manage customer accounts to ensure timely payment and adherence to credit terms.
Review and approve credit applications in accordance with established policies and procedures.
Collaborate with sales and finance teams to resolve credit-related issues and minimize risk.
Maintain accurate records of credit transactions and communicate credit decisions to relevant stakeholders.
Provide regular reports and updates on credit performance and trends to management.
Stay informed about industry regulations and best practices related to credit management.
Identify opportunities for process improvements and implement solutions to enhance efficiency and effectiveness.
Foster positive relationships with customers and external partners to support business growth and customer satisfaction.
Does this sound like you?
Bachelor’s degree in Finance, Accounting, Business Administration, or a related field.
Proven 2 to 3 years’ experience in credit administration or a similar role, preferably in the renewable energy or financial services industry.
Strong understanding of credit principles, financial analysis, and risk management.
Proficiency in Microsoft Office suite and experience with credit management software preferred.
Excellent communication and interpersonal skills, with the ability to collaborate effectively across teams.
Detail-oriented with strong analytical and problem-solving abilities.
Ability to work independently and prioritize tasks in a fast-paced environment.
Knowledge of regulatory requirements and compliance standards related to credit management in Kenya is a plus.
Fluency in English and Swahili languages required.",,"The Credit Administrator will be responsible for managing the credit assessment and approval process, ensuring compliance with company policies and regulatory requirements. The ideal candidate will possess strong analytical skills, attention to detail, and the ability to communicate effectively with internal teams and external stakeholders.","The Credit Administrator will be responsible for managing the credit assessment and approval process, ensuring compliance with company policies and regulatory requirements. The ideal candidate will possess strong analytical skills, attention to detail, and the ability to communicate effectively with internal teams and external stakeholders.",,Unclear,"Proven 2 to 3 years’ experience in credit administration or a similar role, preferably in the renewable energy or financial services industry.",Stay informed about industry regulations and best practices related to credit management.,Business,Business,https://www.myjobmag.co.ke/job/credit-administrator-sunculture-kenya-ltd-3,MyJobMag
Latest Job Openings at Kenya Airways,Kenya Airways,"Purpose
The role of Senior Legal Counsel serves as primary point of contact and source of advisory on all open and anticipated legal cases for and against the company across the network. The incumbent will be required to provide legal support and advisory services across the network through proactive identification, communication, and mitigation of all legal risks in line with overall business strategy.
He/she will be required to manage all legal risks on assigned Company commercial legal transactions as well as litigation proceedings and progress within assigned units or stations as guided by Departmental Team Leader (Company Secretary & Director Legal, Risk and Compliance) and appointed external Lawyers.
Responsibilities
Provide legal advice and preventive lawyering to both Hub and all outstations, aid in identifying significant legal obligations, risks, and opportunities to ensure that legal problems and risks are identified and dealt with before they emerge as significant risks to the business.
Represent and dictate the interests of the Company in matters contracts including Commercial, Joint Ventures, Financing, Aircraft Leases, Registration, Procurement/tendering both locally and all outstations.
Provide solutions and incorporate clauses that give KQ breathing space in commercial contracts.
Be the central point in company for all litigation matters and manage all legal issues at the Group and country level in liaison with external legal counsel or third parties.
Manage the process of engaging external counsel, including effective instructions to external counsel and negotiating appropriate fee structures for all legal engagements.
Review and/or prepare all legal instruments entered into by the company to ensure that the company’s interests are protected.
Provide advice to all stakeholders on corporate authorities and work closely with the senior management to ensure relevant board and committee approvals are obtained on a timely basis.
Develop instruments for use, governance related documents, templates that supports operations at Legal.
Prepare legal and quasi-legal documentation such as proxy forms, powers/delegations of attorney, tender documentation and liaise with the notaries to arrange for documentation to be legalized.
Assist with filing of documentation in other jurisdictions for updates to the company international locations and subsidiaries, business and trade registrations and license renewals.
Brief and monitor external counsel to ensure legal representation is effective.
Ensure disputes are resolved in a manner that safeguards the company’s position.
Provide general competition law advice to the business and conduct training on competition compliance.
Managing the company’s intellectual property portfolio in conjunction with external counsel and the marketing team.
Effective management and development of the direct reports, including individual performance development, objective setting, and performance support, requisite mentorship, and career coaching in relation to the delivery of day-to-day tasks and projects.
Any other assignments of legal nature as delegated by the Departmental Director.
Skills
Ability to maintain confidentiality, to inspire trust, and to demonstrate high personal integrity is crucial.
Working experience in budgeting and planning.
Demonstrated ability to create legal defensive or proactive strategies.
Qualifications
Bachelor’s degree in law (LL. B) from a recognized university.
Diploma in law (KSL).
Master’s degree in law (LL.M), Master of Business Administration (MBA) and Certification in Certified Secretary or any other relevant Legal certification or training will be added advantage.
Minimum of 8 years Post Admission/Qualification experience preferably in litigation or commercial law practice.
Demonstrable knowledge in aviation laws and regulations.
Demonstrable knowledge of relevant legislation and regulations.
Additional Information
Strong conceptual, analytical, documentation and presentation skills with ability to influence and negotiate at different levels.
Superior team leadership, team working and co-operation skills with the ability to drive change management.
Strategic, creative, and analytical thinker with excellent stakeholders’ and risk management skills.
Excellent analytical, problem solving and interpersonal skills as well as excellent communication skills.
Must be a person of unquestionable integrity Team Player
Results Focused
Customer focused
Results oriented.
Professionalism.
Decisive and resilience
go to method of application »",Qualifications,Skills,Skills,"Assist with filing of documentation in other jurisdictions for updates to the company international locations and subsidiaries, business and trade registrations and license renewals.",Unclear,Working experience in budgeting and planning.,,Business,Business,https://www.myjobmag.co.ke/jobs/latest-job-openings-at-kenya-airways-3,MyJobMag
Ongoing Recruitment at Mombasa County Public Service Board,Mombasa County Public Service Board,"Job Description
Preparing drawing and designs for manufacture and fabrication of tools, equipment and machine/plant/vehicle components
Designing project
Project costing and budgetary preparations
Documenting and managing contract
Ensuring professional standards and
Repairing and preparing maintenance schedules for vehicles and plant machinery
Requirements & Qualifications
A bachelor’s degree in mechanical engineering or its equivalent qualification from a recognized institution
Registered by engineers registration board of kenya as a graduate engineer and
A certificate in computer application skills
go to method of application »",Requirements & Qualifications,A certificate in computer application skills,A certificate in computer application skills,,Unclear,,,Engineering,Engineering,https://www.myjobmag.co.ke/jobs/ongoing-recruitment-at-mombasa-county-public-service-board-2,MyJobMag
Programme Lead at eWATERservices,eWATERservices,"Key responsibilities
Programme leadership & delivery
Lead end-to-end delivery of the household connections programme across multiple counties.
Develop and manage implementation plans, timelines and critical paths to ensure milestones are met.
Coordinate technical, operational and field teams to deliver installations safely, efficiently and to standard.
Identify risks early and drive mitigation actions to maintain programme progress.
Product & implementation development
Support refinement of the household connection product and delivery model based on field learning and data.
Ensure product design is operationally practical, scalable and cost-efficient.
Team building & management
Recruit, onboard and manage programme staff and field teams required for rollout.
Provide structure, direction and performance oversight to ensure teams deliver effectively.
Foster a results-oriented, accountable team culture.
Performance tracking & analysis
Create an operational dashboard to track performance.
Define, monitor and report on key programme metrics (e.g. installations completed, adoption rates, system performance).
Use data to guide prioritisation, identify bottlenecks and improve execution.
Financial & planning oversight
Develop and maintain basic programme financial models and budgets.
Track programme costs and ensure activities remain within approved parameters.
Use financial data to support scenario planning.
Stakeholder coordination & reporting
Prepare and deliver structured updates for the eWATER board and external stakeholders including funders.
Ensure accurate and timely reporting on progress, risks and performance.
Coordinate with county partners and other stakeholders as required to enable smooth rollout.
Skills and experience
Required
4+ years’ experience delivering complex programmes, projects or operations.
Demonstrated track record of leading multi-workstream initiatives to completion.
Strong logical skillset and ability to work flexibly.
Experience managing teams and driving performance.
Strong analytical and problem-solving ability.
Comfort working with data, trackers and basic financial models.
Excellent written and verbal communication skills.",,Skills and experience,Skills and experience,,Unclear,Skills and experience,,Project Management,Project Management,https://www.myjobmag.co.ke/job/programme-lead-ewaterservices,MyJobMag
Job Vacancies at Catholic University of Eastern Africa,Catholic University of Eastern Africa,"Job Description
The Catholic University of Eastern Africa (CUEA) wishes to recruit a dynamic, qualified and result-oriented person to fill the position of Motor Vehicle Driver I Cum Mechanic. The position reports to the Head of Transport & Maintenance.
Qualifications & Requirements
Should have attained a minimum of D+ in KCSE
Should possess a valid Driving Licence Class ABCE
Should possess a current Certificate of Good Conduct
Should possess a valid Public Service Vehicle License
Should have experience of at least five (5) years as a driver
Mechanics Grade I
Computer Literate
Should be a creative and innovative team player
Should possess good interpersonal and communication skills
Should be a person of integrity; morally upright and mature
Should be able to work under minimum supervision
Should have excellent team leadership skills
Should be flexible and adaptable enough to work in a multicultural environment
Key Duties & Responsibilities
Carry out routine servicing, oiling, greasing, and replacement of worn-out parts
Conduct pre-operational checks and ensure vehicles are roadworthy
Diagnose mechanical and electrical faults and recommend necessary repairs
Drive university vehicles safely and ensure their cleanliness
Ensure adherence to traffic laws and university transport policies
Keep accurate records of repairs, spare parts used, and maintenance schedules
Maintain tools and equipment in good working condition
Maintain vehicle security on and off campus
Report vehicle defects and expiry of insurance licenses promptly
Transport university staff and students as required
go to method of application »",Qualifications & Requirements,Should possess good interpersonal and communication skills,Should possess good interpersonal and communication skills,,Unclear,Should have experience of at least five (5) years as a driver,,Information Technology,Information Technology,https://www.myjobmag.co.ke/jobs/job-vacancies-at-catholic-university-of-eastern-africa-1,MyJobMag
Food & Beverage Manager at Trianum Hotels,Trianum Hotels,"We are seeking applicants for the following position Food & Beverage Manager
Key Responsibilities
Support management in building a scalable, recognizable F&B brand
Collaborate with the Chef on menu development and pricing for profitability
Drive innovative ideas and new revenue streams
Oversee daily operations across restaurant, bar, room service & banqueting
Ensure high service, food quality, and hygiene standards
Manage costs, inventory, and compliance with regulations
Lead staff scheduling, training, and performance management
Handle guest feedback to ensure excellent experiences
Maintain cleanliness, presentation, and operational standards
Prepare reports and support budgeting processes
Qualifications & Experience
Diploma/Degree in Food & Beverage Operations or related field
3-5 years' experience in a similar role within a hotel or restaurant set up
Strong leadership, communication & customer service skills
Detail-oriented with strong organizational and problem-solving abilities
Proficient in hotel management systems and POS platforms, as well as Microsoft Office
What We Are Looking For
Customer-focused, dynamic hospitality professional
Creative, innovative thinker
Results-driven with strong cost and revenue management skills
Proven ability to lead and motivate teams to deliver exceptional service",Qualifications & Experience,"Strong leadership, communication & customer service skills","Strong leadership, communication & customer service skills",,Unclear,Handle guest feedback to ensure excellent experiences,,Business,Business,https://www.myjobmag.co.ke/job/food-beverage-manager-trianum-hotels,MyJobMag
Transport Dispatcher at Wasoko,Wasoko,"The role is responsible for managing and optimizing daily delivery operations to ensure efficient, timely, and accurate order fulfilment. This includes coordinating dispatch, supervising drivers and fleet performance, resolving real-time delivery issues, and collaborating with internal teams to maintain high service standards, operational efficiency, and customer satisfaction.
Key Responsibilities
Order & Dispatch Management: Oversee order scheduling, dispatching, and routing to achieve 100% same-day delivery, including proactive fleet capacity planning.
Route Optimization: Plan, review, and optimize delivery routes daily to improve efficiency, reduce fuel consumption, and resolve failed deliveries promptly.
Driver & Fleet Oversight: Monitor vehicle status, driver attendance, performance, and ensure proper coaching, training, and compliance with safety and transport regulations.
Real-Time Operations Support: Maintain constant communication with drivers and resolve in-route issues such as delays, breakdowns, or route deviations.
Cross-Functional Coordination: Work closely with warehouse, fulfilment, customer service, and operations teams to ensure seamless dispatch, 100% order fulfilment, and high stock accuracy.
Customer & Stakeholder Communication: Respond promptly to customer and client inquiries regarding delivery schedules and shipment status.
Reporting & Continuous Improvement: Maintain accurate transport records, update systems daily, conduct driver debriefs, track performance metrics, and drive ongoing operational improvements.
Required Qualifications & Experience:
1–2 years of relevant experience in transport coordination, dispatch, or last-mile delivery operations.
Bachelor’s degree in Logistics, Supply Chain Management, Business Management, or a related field.
Strong understanding of route planning, fleet management, and transport management systems.
Knowledge of safety standards and transport regulations, with experience supervising drivers or 3PL teams.
Strong organizational, problem-solving, and communication skills.
Ability to work efficiently and independently in a fast-paced environment.",,"Strong organizational, problem-solving, and communication skills.","Strong organizational, problem-solving, and communication skills.",,Unclear,,"Work closely with warehouse, fulfilment, customer service, and operations teams to ensure seamless dispatch, 100% order fulfilment, and high stock accuracy.",Aviation & Logistics,Aviation & Logistics,https://www.myjobmag.co.ke/job/transport-dispatcher-wasoko-3,MyJobMag
Exciting Career Opportunities at Nairobi City Water and Sewerage Company Limited (NCWSC),Nairobi City Water and Sewerage Company Limited (NCWSC),"Broad Role
The Managing Director will provide strategic leadership, ensuring efficient and effective management, planning, directing, and controlling the operations of the Company to meet stakeholder expectations, regulatory standards (WASREB), and financial targets. He or she shall represent the management in the Board. Appointment to the position shall be for a period of five (5) years, renewable once, subject to satisfactory performance.
Duties and Responsibilities
Strategic Leadership: Develop and implement the company’s strategic plans, business plans, and annual operating budgets to enhance profitability and service delivery.
Operations Management: Oversee day-to-day operations, ensuring high-quality, reliable, and sustainable water supply and sanitation services.
Financial Management: Ensure sound financial management, including revenue enhancement, cost control, and optimal asset utilization.
Compliance & Governance: Ensure compliance with the Water Act, WASREB guidelines, and other legal, regulatory, and statutory requirements.
Stakeholder Management: Maintain positive relations with the County Government, National Government, community, donors, and regulatory bodies.
Corporate Culture: Lead and mentor staff, promoting a culture of high performance, integrity, and safety.
Requirements
Education, Professional Qualifications and Work Experience:
Bachelor’s Degree in Engineering, ICT, Human Resources, Finance, Economics, Environmental Studies, Business Related Field or Law.
A Master’s Degree in any of the disciples in (i) above.
10 years’ experience in utility management or service industry.
Must be registered and in good standing with a relevant professional body.
Certificate in Strategic Leadership Development Program from Kenya School of Government or its equivalent.
Experience in Public Sector Management.
Required Skills and Competencies:
Strong management, leadership and negotiation skills.
Computer literacy and familiarity with standard office computer applications.
Excellent interpersonal and communication skills.
Ability to work under pressure and meet deadlines.
Able to multitask in a fast-paced environment.
go to method of application »",,,,,Unclear,,10 years’ experience in utility management or service industry.,Business,Business,https://www.myjobmag.co.ke/jobs/exciting-career-opportunities-at-nairobi-city-water-and-sewerage-company-limited-ncwsc,MyJobMag
Consultancy: AI Driven Capacity Building for Programme Design and Resource Mobilization,Nomadic Assistance for Peace and Development,"Objectives of the Training
The consultant will support NAPAD to achieve the following:
Enhance staff capacity to use AI tools for high‑quality, competitive proposal design.
Improve donor intelligence scanning through AI‑supported landscape analysis.
Strengthen capacity to design and run AI‑enhanced digital fundraising campaigns.
Build staff skills in responsible, ethical, and safe AI use, aligned with global standards.
Contribute to NAPAD’s institutional readiness for innovation‑focused global challenge funds, including those prioritizing AI in WASH, MCH/Nutrition, climate resilience, food security, and cross‑sectoral innovation.
Support the development of Standard Operating Procedures (SOPs) for responsible and ethical AI use
Consultant Qualifications
Proven experience training NGOs on AI use in development or humanitarian contexts.
Strong background in resource mobilization, proposal design, and donor intelligence.
Demonstrated expertise in digital fundraising.
Knowledge of AI ethics, responsible AI, and data protection.
Strong facilitation and capacity‑building experience.
Ability to design practical templates, workflows, and SOPs.
Excellent communication and reporting skills.",Consultant Qualifications,"Build staff skills in responsible, ethical, and safe AI use, aligned with global standards.","Build staff skills in responsible, ethical, and safe AI use, aligned with global standards.",,Unclear,Proven experience training NGOs on AI use in development or humanitarian contexts.,,Engineering,Engineering,https://www.myjobmag.co.ke/job/consultancy-ai-driven-capacity-building-for-programme-design-and-resource-mobilization-nomadic-assistance-for-peace-and-development,MyJobMag
